id,ideal weight,ideal size
16384,65.0,2
16385,290.89475383373696,9
16386,55.03909090909091,1
16387,3748.643202335243,123
16388,3646.9398885522523,121
16389,2780.645896462219,95
16390,165.3248366013072,5
16391,38.892857142857146,1
16392,73.96693121693121,2
16393,135.97972582972582,4
16394,34.70639730639731,1
16395,743.4366249307967,24
16396,552.7996347280172,18
16397,26.84074074074075,1
16398,156.90000000000003,3
16399,251.3285895003163,7
16400,543.4199460185972,14
16401,29.441176470588232,1
16402,807.6570970859207,19
16403,993.3404440358117,24
16404,51.75,1
16405,50.08960573476703,1
16406,24.438746438746442,1
16407,82.91025641025642,3
16408,87.37692307692309,2
16409,202.94488541142957,5
16410,46.339285714285715,1
131097,2455.1127462441837,64
131099,842.9263278551514,20
16411,274.5389297385621,6
16413,134.63297491039427,3
16412,16.23010752688172,1
16416,19.209523809523805,1
16417,50.914880952380955,2
16418,54.73333333333334,1
16419,162.24865196078431,4
16420,63.90073529411767,1
16421,27.11111111111111,1
16422,46.56666666666666,1
16423,535.2615898560152,18
16424,1140.667652014129,31
16425,1212.4221022422632,36
16426,565.5445236965755,12
16427,355.67440592903836,8
16428,73.22857142857146,2
16429,40.53846153846154,1
16430,37.97142857142858,1
16431,28.277777777777768,1
16432,45.518518518518526,1
16433,37.84615384615385,1
16434,311.95023748181643,6
16435,56.86315789473682,1
16436,356.6472071787861,7
16437,57.26923076923079,1
16438,456.0763447079237,9
16439,2823.883956459273,64
16440,3046.7934356830215,71
16441,3215.2918299517964,74
16442,136.05373023715416,2
16443,62.76482213438734,1
16444,110.61612907927528,2
16445,1575.474478479629,37
16446,2462.6117650637125,56
16447,2641.3134791105354,60
16448,1937.1912478616157,46
16449,1850.9540683744365,44
16450,1534.7472057523562,36
16451,57.853226253115466,1
16452,80.17588932806322,2
16453,93.08498023715413,3
16454,62.21656050955415,1
16455,135.49657938192968,4
16456,3503.301172576091,84
16457,84.74147727272728,1
16458,1556.4347057523562,36
16459,1595.1165239341742,37
16460,1628.5710693887197,38
16461,1493.8608421159925,35
16462,1441.0770394150702,35
16463,1392.794430719418,34
16464,1352.1383042372045,33
16465,1405.7699330250834,34
16466,1441.4972057523562,35
16467,1484.754781509932,36
16468,1116.7607338908842,27
16469,1191.7607338908845,29
16470,1214.2488291289797,30
16471,1267.9735315099317,32
16472,46.88690476190477,1
16473,44.951839826839844,1
16474,38.56769230769231,1
16475,68.85132867132867,2
16476,157.85679274130888,4
16477,270.1258392769016,6
16478,368.05666850514467,8
16479,17.76923076923077,1
16480,239.95090761090765,7
16481,25.79076923076924,1
16482,60.35282051282053,2
16483,5.166666666666667,1
16484,40.773809523809526,2
16485,66.07894736842104,2
16486,11.238095238095235,1
16487,46.904761904761926,1
139360,85.84615384615385,4
16489,83.84713478611785,3
16490,125.5495157384988,5
16491,3814.371927373646,126
16492,3698.0105846488163,89
16493,3719.8418034240317,90
16494,5080.6531104441365,133
16495,5089.352018542408,134
16496,5100.664120453235,135
16497,5115.019079506921,136
16498,5118.061936649778,137
16499,5643.069754557278,146
16500,5717.848921223945,147
16501,5902.813903493448,149
16502,5567.886283569666,154
16503,2.828025477707006,2
16504,192.2726817042606,3
16505,1080.0940672242175,26
16506,1172.6753876751034,28
16507,1619.7449504090685,39
16508,51.68690476190477,2
16509,89.15811965811966,2
16510,35.616459627329185,1
16511,94.77546583850932,2
16512,362.1968076595187,9
16513,64.60351966873705,2
16514,84.53830227743272,2
16515,74.54710144927535,2
16516,77.72670807453417,2
16517,1203.9412394324117,34
16518,823.2708593537751,21
16519,738.5426593781327,18
16520,607.2524389421321,15
16521,491.7596361353907,12
16522,40.809523809523824,1
16523,47.53296703296704,1
16524,45.69360051712994,1
16525,61.42893679210815,1
16526,33.657100784978034,1
16527,1223.2572567484292,35
16528,8771.358966966602,264
16529,0.0,1
16530,16.708074534161494,2
16531,76.60403726708074,1
16532,7399.62431016724,223
16533,7497.419609709982,226
16534,7200.802516232274,220
16535,6948.451247296604,214
16536,6765.27542312078,210
16537,31.41208791208791,1
16538,2560.8948198227786,68
16539,50.29813664596273,1
16540,65.7701863354037,1
16541,120.29120879120876,3
16542,48.39285714285713,1
16543,140.6709346567411,6
16544,222.57853245646083,6
16545,4032.2468558859937,137
16546,456.8703955260338,209
16547,0.0,3
16548,0.0,2
16549,48.94117647058823,6
16288,19.796178343949038,1
16551,1.1317829457364341,6
16552,1.1317829457364341,5
16553,0.5658914728682171,4
16554,0.5658914728682171,3
16555,0.5658914728682171,2
16556,1064.0540540540542,61
16557,171.58333333333331,6
16558,8799.015105633975,850
16550,32324.348229016257,2229
16565,53.19999999999999,1
16566,53.19999999999999,1
16567,64.59999999999998,1
16568,64.59999999999998,1
16569,72.19999999999997,1
16570,68.39999999999998,1
16571,59.86956521739129,1
16572,52.826086956521735,2
16573,49.30434782608695,1
16574,49.30434782608695,1
16575,127.30065359477123,5
16576,35.21739130434782,1
16577,16.535947712418302,1
16578,59.5294117647059,1
16579,46.300653594771255,1
16580,39.68627450980392,1
16581,46.300653594771255,1
16582,46.300653594771255,1
16583,29.030075187969928,1
16584,38.70676691729322,1
16585,48.38345864661653,1
16586,58.060150375939855,1
16587,102.19300544940333,5
16588,38.70676691729322,2
16589,16.12781954887218,1
16590,28.56880733944955,1
16591,47.61467889908258,2
16592,34.91743119266055,1
16593,34.91743119266055,2
16594,50.788990825688074,1
16595,47.61467889908258,1
16596,34.91743119266055,3
16597,47.61467889908257,4
16598,37.42331288343558,1
16599,59.87730061349693,2
